,app,tec,house,recall,accuracy,precision,f1,TP,TN,FP,FN,P,N
0,kettle,ANN,test,0.8403802032120616,0.9964874307768365,0.6804670912951167,0.7520164246957032,2564,477159,1204,487,3051,478363
1,kettle,ANN,1,0.646822314615982,0.9960405724010426,0.6928498017912201,0.6690453686200377,28314,7018434,12552,15460,43774,7030986
2,kettle,ANN,2,0.4381733206590621,0.9937605816683267,0.8696643345648927,0.5827385498696305,11063,2512273,1658,14185,25248,2513931
3,kettle,ANN,5,0.6885336273428887,0.9979892428466122,0.7364386792452831,0.7116809116809119,2498,1002064,894,1130,3628,1002958
4,kettle,CNN,test,0.914782038675844,0.9980079515759824,0.7997134670487106,0.8533863323650819,2791,477664,699,260,3051,478363
5,kettle,CNN,1,0.8058436514826153,0.9982505413611203,0.9009526728475468,0.8507482484594884,35275,7027108,3878,8499,43774,7030986
6,kettle,CNN,2,0.6579134980988594,0.9961074032197021,0.9301713517751148,0.7707047742773628,16611,2512684,1247,8637,25248,2513931
7,kettle,CNN,5,0.8164277839029769,0.9984810041069516,0.7743790849673202,0.794847712330605,2962,1002095,863,666,3628,1002958
8,kettle,GRU,test,0.7305801376597837,0.9980557275027315,0.9513444302176697,0.8264738598442714,2229,478249,114,822,3051,478363
9,kettle,GRU,1,0.41261936309224656,0.9962482119534797,0.956015455459694,0.5764437423205196,18062,7030155,831,25712,43774,7030986
10,kettle,GRU,2,0.5208333333333334,0.9949003201428493,0.9392186272409113,0.6700807663889526,13150,2513080,851,12098,25248,2513931
11,kettle,GRU,5,0.327728776185226,0.9975054292430056,0.9429024583663759,0.48639803640826335,1189,1002886,72,2439,3628,1002958
12,kettle,logisticRegression,test,0.778105539167486,0.9946968721308479,0.5585882352941176,0.6503218737159293,2374,476487,1876,677,3051,478363
13,kettle,logisticRegression,1,0.27210216110019647,0.9942292035348196,0.5705868263473054,0.36848211109220563,11911,7022022,8964,31863,43774,7030986
14,kettle,logisticRegression,2,0.23712769328263625,0.9921242259801298,0.8903926234384295,0.3745152008007006,5987,2513194,737,19261,25248,2513931
15,kettle,logisticRegression,5,0.12348401323042998,0.9965248870936015,0.5848563968668408,0.20391442876649976,448,1002640,318,3180,3628,1002958
16,kettle,KNN,test,0.6548672566371682,0.9953345768922383,0.6261360075211533,0.6401794296699775,1998,477170,1193,1053,3051,478363
17,kettle,KNN,1,0.15283044729748252,0.993936190061571,0.5349432272509196,0.23773987206823027,6690,7025170,5816,37084,43774,7030986
18,kettle,KNN,2,0.45769961977186313,0.9941784332652405,0.9138067373082398,0.6099118593972661,11556,2512841,1090,13692,25248,2513931
19,kettle,KNN,5,0.17420066152149946,0.9955244758023656,0.29518916394208317,0.21910209741723002,632,1001449,1509,2996,3628,1002958
20,kettle,SVM,test,0.8121927236971485,0.9947820379133137,0.561014263074485,0.6636314943760043,2478,476424,1939,573,3051,478363
21,kettle,SVM,1,0.35109882578699686,0.9939179562274904,0.5124195645650652,0.4166903900117939,15369,7016362,14624,28405,43774,7030986
22,kettle,SVM,2,0.1133555133079848,0.9910557703887752,0.8980232193285221,0.2013012132934764,2862,2513606,325,22386,25248,2513931
23,kettle,SVM,5,0.031146637265711135,0.9964553450971899,0.6807228915662651,0.05956773853452821,113,1002905,53,3515,3628,1002958
24,kettle,SGD,test,0.7607341855129466,0.9944455292118634,0.5441969519343494,0.6344997266265718,2321,476419,1944,730,3051,478363
25,kettle,SGD,1,0.2632612966601179,0.9941793078493122,0.5634105798376846,0.3588466089555957,11524,7022056,8930,32250,43774,7030986
26,kettle,SGD,2,0.7000950570342205,0.9963681174111789,0.9146227879540515,0.7931080899178893,17676,2512281,1650,7572,25248,2513931
27,kettle,SGD,5,0.34592061742006613,0.9953486338971533,0.3521324354657688,0.34899888765294773,1255,1000649,2309,2373,3628,1002958
28,kettle,randomForest,test,0.6247132087840053,0.9958725753717175,0.6935953420669578,0.6573547163304019,1906,477521,842,1145,3051,478363
